snapshot_at,inav,market_price,premium_discount_pct,source
2026-08-25T09:18:28,460.9454,475.8999938964844,3.2443,nippon_amc_live
2026-08-25T09:51:54,461.139,474.5799865722656,2.9147,nippon_amc_live
2026-08-25T09:57:03,461.1014,474.6099853515625,2.9296,nippon_amc_live
2026-08-25T10:02:11,461.1014,474.6300048828125,2.934,nippon_amc_live
2026-08-25T10:31:10,460.9277,475.20001220703125,3.0964,nippon_amc_live
2026-08-25T10:36:19,460.98,475.0,3.0413,nippon_amc_live
2026-08-25T10:41:26,461.0934,474.9800109863281,3.0117,nippon_amc_live
2026-08-25T11:15:24,461.6757,473.4599914550781,2.5525,nippon_amc_live
2026-08-25T11:20:33,461.7232,473.8500061035156,2.6264,nippon_amc_live
2026-08-25T11:25:41,462.0166,473.8399963378906,2.5591,nippon_amc_live
